Conflict_ID,Region,Conflict_Type,Start_Date,End_Date,Number_of_Incidents,Number_of_Deaths,Intervention_ID,Intervention_Country,Intervention_Organization,Intervention_Type,Intervention_Start_Date,Intervention_End_Date,Intervention_Success,Country,Population,GDP_Per_Capita,Unemployment_Rate,Poverty_Index,Literacy_Rate,Ethnic_Group,Main_Religion,Ethnic_Religious_Tension,Number_of_Conflicts,Last_Conflict_Date,Corruption_Index,Governance_Quality,Government_Transparency,Number_of_Scandals,Number_of_Displaced_People,Number_of_Refugees,Humanitarian_Needs,Access_to_Humanitarian_Aid,Technology_Use_in_Conflicts,Technological_Investment,Number_of_Data_Analysis_Projects,Data_Analysis_Effectiveness
3846,Afghanistan,terrorism,2020-07-12,,74,378,3846,Yemen,UN,humanitarian,2020-07-12,2023-01-01,yes,Iraq,15454081,31364,19.62,23.6,97.03,Kurd,Sunni Islam,low,4,2030-07-12,5.99,1,5,4,44620,2058032,food,high,low,95,33,7
3847,Iraq,territorial conflict,2020-07-13,2023-01-01,30,997,3847,Iraq,UN,military,2020-07-13,,no,Syria,5885654,10533,23.93,6.98,67.17,Kurd,Christianity,high,2,2030-07-13,4.43,8,9,9,68076,1135072,water,high,medium,89,42,6
3848,Iraq,territorial conflict,2020-07-14,2023-01-01,5,228,3848,Afghanistan,NATO,humanitarian,2020-07-14,,partial,Yemen,21538246,1256,23.14,50.13,97.17,Persian,Christianity,high,17,2030-07-14,1.02,8,4,1,798502,1630378,food,medium,medium,15,8,1
3849,Afghanistan,territorial conflict,2020-07-15,2023-01-01,65,70,3849,Yemen,Red Cross,diplomatic,2020-07-15,2023-01-01,no,Yemen,37238720,11164,12.1,35.8,94.49,Kurd,Shia Islam,high,11,2030-07-15,1.35,1,3,5,1072297,1889665,medicine,medium,medium,58,34,8
3850,Syria,terrorism,2020-07-16,2023-01-01,80,375,3850,Yemen,Red Cross,humanitarian,2020-07-16,,partial,Iraq,32391442,27690,49.76,11.47,98.4,Kurd,Shia Islam,medium,11,2030-07-16,2.17,8,6,7,965736,1974802,medicine,medium,low,42,6,6
3851,Afghanistan,territorial conflict,2020-07-17,,70,626,3851,Syria,Red Cross,diplomatic,2020-07-17,,partial,Iraq,15500595,12655,49.33,41.63,86.84,Turkoman,Christianity,medium,12,2030-07-17,8.25,3,3,0,1093054,2291065,shelter,low,low,76,27,7
3852,Yemen,terrorism,2020-07-18,,16,491,3852,Afghanistan,NATO,military,2020-07-18,2023-01-01,partial,Syria,26831517,1621,42.25,25.64,88.02,Arab,Shia Islam,low,8,2030-07-18,5.75,6,3,5,2501971,342035,medicine,medium,high,16,42,3
3853,Afghanistan,territorial conflict,2020-07-19,,75,221,3853,Iran,UN,military,2020-07-19,2023-01-01,partial,Syria,3905044,5312,16.31,24.9,59.15,Baluchi,Shia Islam,low,8,2030-07-19,1.83,1,1,7,2086694,1644514,shelter,medium,high,72,22,2
3854,Yemen,territorial conflict,2020-07-20,,33,75,3854,Syria,Red Cross,military,2020-07-20,2023-01-01,partial,Syria,7570069,24911,10.44,14.93,88.58,Arab,Shia Islam,low,5,2030-07-20,2.85,5,9,2,4567302,1817281,water,medium,low,64,11,6
3855,Afghanistan,civil war,2020-07-21,,7,3,3855,Afghanistan,Red Cross,humanitarian,2020-07-21,,no,Iraq,18913657,36995,42.61,9.95,94.43,Arab,Christianity,medium,14,2030-07-21,7.8,4,2,5,4542159,1063211,food,medium,low,19,18,5
3856,Syria,territorial conflict,2020-07-22,,17,631,3856,Afghanistan,UN,humanitarian,2020-07-22,,partial,Yemen,38486526,3470,12.33,16.37,91.08,Baluchi,Sunni Islam,high,3,2030-07-22,2.85,6,5,2,1859301,1733590,water,low,low,50,43,8
3857,Iraq,terrorism,2020-07-23,2023-01-01,14,821,3857,Iraq,NATO,diplomatic,2020-07-23,,partial,Syria,14724261,34963,42.09,47.21,55.54,Arab,Shia Islam,medium,18,2030-07-23,1.92,1,4,7,1415430,621120,shelter,high,high,29,35,9
3858,Afghanistan,territorial conflict,2020-07-24,,81,51,3858,Yemen,NATO,diplomatic,2020-07-24,,yes,Iran,15942264,37920,14.95,48.42,91.34,Turkoman,Shia Islam,low,0,2030-07-24,4.62,5,1,1,1801109,2007612,water,high,medium,75,37,7
3859,Syria,terrorism,2020-07-25,2023-01-01,20,201,3859,Afghanistan,UN,humanitarian,2020-07-25,2023-01-01,partial,Iraq,6112150,33676,19.13,38.62,67.38,Persian,Sunni Islam,low,4,2030-07-25,9.08,9,2,7,3118896,509002,water,high,low,10,22,4
3860,Iran,terrorism,2020-07-26,,45,69,3860,Iraq,Red Cross,humanitarian,2020-07-26,,partial,Syria,15647799,16394,22.84,41.08,67.48,Baluchi,Sunni Islam,medium,10,2030-07-26,4.94,3,8,2,3357033,2672985,medicine,medium,medium,33,1,5
3861,Yemen,territorial conflict,2020-07-27,2023-01-01,70,504,3861,Iran,NATO,diplomatic,2020-07-27,2023-01-01,no,Afghanistan,33711624,10603,44.02,44.26,52.54,Arab,Sunni Islam,medium,10,2030-07-27,8.73,7,1,0,4009178,2695743,water,high,low,77,35,8
3862,Afghanistan,civil war,2020-07-28,2023-01-01,4,148,3862,Syria,UN,military,2020-07-28,,yes,Iraq,15363686,11284,37.31,59.69,94.55,Turkoman,Sunni Islam,high,15,2030-07-28,9.12,5,4,6,2863291,2954851,shelter,medium,medium,69,11,3
3863,Iran,civil war,2020-07-29,2023-01-01,26,643,3863,Syria,Red Cross,military,2020-07-29,,partial,Afghanistan,3751399,13822,15.65,29.57,70.97,Persian,Christianity,medium,4,2030-07-29,8.79,9,3,5,3488971,1008640,shelter,low,medium,81,44,5
3864,Iran,territorial conflict,2020-07-30,2023-01-01,56,630,3864,Afghanistan,UN,diplomatic,2020-07-30,,partial,Iran,17224503,42146,42.64,22.19,81.47,Persian,Sunni Islam,low,2,2030-07-30,3.34,2,1,5,4754595,652557,food,medium,low,22,33,4
3865,Iraq,civil war,2020-07-31,,29,200,3865,Yemen,Red Cross,diplomatic,2020-07-31,,partial,Iran,12201460,49254,17.72,52.25,89.08,Persian,Christianity,high,18,2030-07-31,3.84,3,8,4,4256433,133119,shelter,medium,medium,80,16,6
3866,Iran,civil war,2020-08-01,,83,561,3866,Syria,NATO,diplomatic,2020-08-01,2023-01-01,no,Iraq,36989204,45766,26.23,32.4,65.14,Persian,Sunni Islam,low,9,2030-08-01,7.63,1,4,9,2599333,2117608,medicine,medium,high,1,22,1
3867,Syria,territorial conflict,2020-08-02,,93,521,3867,Iraq,NATO,diplomatic,2020-08-02,2023-01-01,no,Yemen,1659972,4967,49.37,8.0,70.69,Kurd,Christianity,high,10,2030-08-02,9.94,4,9,7,2464033,2109139,water,high,medium,89,42,3
3868,Syria,terrorism,2020-08-03,,90,205,3868,Yemen,UN,diplomatic,2020-08-03,2023-01-01,yes,Syria,33477633,34759,28.98,42.47,95.6,Turkoman,Shia Islam,high,1,2030-08-03,3.07,1,5,5,4131510,2150352,medicine,low,medium,13,13,3
3869,Iran,terrorism,2020-08-04,2023-01-01,12,910,3869,Yemen,NATO,military,2020-08-04,,yes,Iraq,22692761,8373,13.51,53.7,85.94,Turkoman,Christianity,high,15,2030-08-04,6.72,7,2,7,1948152,682927,medicine,medium,medium,34,44,2
3870,Iran,civil war,2020-08-05,2023-01-01,91,112,3870,Syria,UN,diplomatic,2020-08-05,,no,Syria,11954677,26391,27.57,44.4,77.57,Kurd,Shia Islam,medium,6,2030-08-05,5.79,7,1,1,4710215,144525,water,medium,high,84,42,7
3871,Syria,territorial conflict,2020-08-06,,27,228,3871,Iraq,UN,diplomatic,2020-08-06,,yes,Yemen,34412787,31705,8.55,25.01,84.95,Arab,Sunni Islam,medium,9,2030-08-06,9.29,9,5,8,3606982,1279641,shelter,high,high,22,16,4
3872,Iran,territorial conflict,2020-08-07,,68,882,3872,Yemen,NATO,diplomatic,2020-08-07,2023-01-01,yes,Yemen,17204583,45611,28.88,13.34,71.02,Persian,Shia Islam,medium,2,2030-08-07,4.04,8,9,4,1256206,1081422,food,high,medium,73,31,1
3873,Iraq,civil war,2020-08-08,2023-01-01,41,76,3873,Afghanistan,UN,diplomatic,2020-08-08,,partial,Afghanistan,36386358,20128,42.26,40.0,81.97,Baluchi,Christianity,medium,11,2030-08-08,2.88,9,9,5,4296436,2485909,shelter,low,high,36,32,5
3874,Syria,terrorism,2020-08-09,,49,118,3874,Iran,UN,humanitarian,2020-08-09,2023-01-01,no,Iran,27661010,2928,30.78,44.62,86.32,Baluchi,Christianity,low,11,2030-08-09,7.12,4,9,4,862528,504005,food,high,high,56,4,8
3875,Iran,terrorism,2020-08-10,2023-01-01,37,345,3875,Iran,Red Cross,military,2020-08-10,2023-01-01,partial,Iran,4109443,17157,27.9,9.97,94.54,Turkoman,Sunni Islam,medium,19,2030-08-10,6.01,7,1,1,1705061,1280255,medicine,medium,medium,2,15,5
3876,Iraq,territorial conflict,2020-08-11,2023-01-01,57,428,3876,Iran,UN,diplomatic,2020-08-11,2023-01-01,yes,Iraq,10927159,30783,8.43,24.01,89.49,Baluchi,Christianity,medium,6,2030-08-11,8.63,3,6,4,531698,2565683,water,low,low,81,23,9
3877,Afghanistan,territorial conflict,2020-08-12,2023-01-01,43,961,3877,Iran,NATO,humanitarian,2020-08-12,,partial,Iraq,37584503,38800,44.83,30.16,88.17,Kurd,Sunni Islam,high,19,2030-08-12,6.43,9,6,0,2468789,28846,food,medium,medium,65,2,1
3878,Iraq,terrorism,2020-08-13,,39,883,3878,Yemen,Red Cross,military,2020-08-13,2023-01-01,no,Afghanistan,26011830,16186,30.7,34.82,86.36,Baluchi,Christianity,medium,19,2030-08-13,8.96,9,9,6,874757,2288392,water,high,medium,7,1,2
3879,Syria,civil war,2020-08-14,,32,6,3879,Iran,UN,diplomatic,2020-08-14,2023-01-01,yes,Syria,20435283,29282,23.23,28.71,86.2,Turkoman,Christianity,medium,4,2030-08-14,7.86,5,9,3,3057115,82868,medicine,low,low,39,19,3
3880,Syria,territorial conflict,2020-08-15,,89,11,3880,Iran,UN,diplomatic,2020-08-15,2023-01-01,partial,Syria,38945205,45854,30.92,43.17,69.21,Arab,Sunni Islam,medium,17,2030-08-15,8.93,9,8,1,330410,2069091,shelter,medium,high,83,37,2
3881,Iran,terrorism,2020-08-16,2023-01-01,14,998,3881,Syria,UN,diplomatic,2020-08-16,2023-01-01,yes,Afghanistan,27314265,47253,7.81,44.71,60.43,Baluchi,Sunni Islam,low,0,2030-08-16,8.85,4,8,3,3077447,1524850,water,low,high,80,30,2
3882,Afghanistan,civil war,2020-08-17,2023-01-01,65,193,3882,Yemen,Red Cross,diplomatic,2020-08-17,2023-01-01,partial,Iraq,11992979,5828,42.17,5.76,78.51,Kurd,Sunni Islam,medium,5,2030-08-17,2.69,4,6,2,3913497,1408819,food,high,medium,89,49,4
3883,Iran,civil war,2020-08-18,,95,483,3883,Yemen,Red Cross,diplomatic,2020-08-18,,no,Iraq,1405354,45217,22.33,8.13,78.08,Persian,Sunni Islam,medium,6,2030-08-18,2.92,3,2,2,3939937,2343899,food,medium,medium,72,24,4
3884,Iran,territorial conflict,2020-08-19,,90,966,3884,Yemen,UN,military,2020-08-19,2023-01-01,no,Iran,34624642,10168,13.41,37.69,96.27,Kurd,Christianity,high,0,2030-08-19,6.56,1,8,8,1470626,1252689,water,medium,high,21,40,8
3885,Iraq,terrorism,2020-08-20,2023-01-01,83,201,3885,Iran,Red Cross,humanitarian,2020-08-20,2023-01-01,partial,Afghanistan,31296262,38311,20.06,15.8,84.83,Turkoman,Shia Islam,low,10,2030-08-20,5.86,4,8,5,1435815,2082649,food,low,low,17,24,9
3886,Iran,terrorism,2020-08-21,,91,463,3886,Afghanistan,NATO,humanitarian,2020-08-21,,yes,Afghanistan,3386347,25084,48.91,27.78,89.78,Turkoman,Shia Islam,low,8,2030-08-21,8.3,9,4,3,3650090,1978679,food,high,medium,14,42,1
3887,Afghanistan,terrorism,2020-08-22,,54,139,3887,Syria,NATO,humanitarian,2020-08-22,2023-01-01,yes,Afghanistan,6917342,28595,9.56,10.58,63.85,Persian,Sunni Islam,high,17,2030-08-22,5.72,2,9,5,4002562,2544737,shelter,low,low,74,47,2
3888,Syria,territorial conflict,2020-08-23,2023-01-01,16,755,3888,Afghanistan,UN,military,2020-08-23,,yes,Syria,7539701,2813,42.82,10.01,86.76,Kurd,Christianity,low,6,2030-08-23,3.2,5,4,6,38682,2100838,medicine,medium,low,43,33,5
3889,Afghanistan,territorial conflict,2020-08-24,,96,577,3889,Afghanistan,NATO,humanitarian,2020-08-24,2023-01-01,yes,Iran,29916005,44985,16.51,24.04,64.7,Persian,Christianity,low,16,2030-08-24,4.16,3,1,8,3435742,2784198,shelter,high,low,45,21,5
3890,Syria,terrorism,2020-08-25,2023-01-01,90,727,3890,Iraq,UN,humanitarian,2020-08-25,,no,Syria,17424939,18997,44.38,16.15,71.02,Persian,Sunni Islam,medium,13,2030-08-25,5.29,3,4,1,4342475,2179427,food,low,low,35,6,9
3891,Syria,civil war,2020-08-26,,84,937,3891,Iraq,UN,humanitarian,2020-08-26,2023-01-01,yes,Syria,6878675,33015,46.59,46.79,72.31,Arab,Christianity,low,19,2030-08-26,5.55,1,8,9,1723065,1891340,water,medium,low,54,45,6
3892,Syria,territorial conflict,2020-08-27,2023-01-01,76,61,3892,Syria,Red Cross,diplomatic,2020-08-27,2023-01-01,partial,Yemen,2645277,6620,24.79,15.76,61.73,Baluchi,Shia Islam,low,13,2030-08-27,6.46,5,9,9,4700752,1524510,food,high,medium,58,45,2
3893,Afghanistan,civil war,2020-08-28,2023-01-01,60,290,3893,Iraq,Red Cross,diplomatic,2020-08-28,2023-01-01,partial,Iran,32763574,37618,28.62,56.62,54.82,Kurd,Shia Islam,high,18,2030-08-28,4.28,6,1,7,3908423,126493,food,high,medium,69,14,7
3894,Iraq,territorial conflict,2020-08-29,,13,670,3894,Syria,NATO,military,2020-08-29,2023-01-01,yes,Afghanistan,7310969,20700,41.31,42.08,65.13,Persian,Sunni Islam,high,19,2030-08-29,8.6,6,8,8,360030,801418,medicine,medium,low,75,44,5
3895,Afghanistan,terrorism,2020-08-30,,51,633,3895,Yemen,Red Cross,military,2020-08-30,2023-01-01,partial,Yemen,6479373,2397,12.74,18.62,81.57,Turkoman,Sunni Islam,high,12,2030-08-30,5.72,8,6,1,3139013,486011,food,medium,low,6,8,9
3896,Afghanistan,territorial conflict,2020-08-31,,74,567,3896,Afghanistan,NATO,military,2020-08-31,,no,Syria,17231271,9794,12.21,9.87,80.07,Turkoman,Shia Islam,low,3,2030-08-31,2.35,6,7,1,4584049,450980,water,high,high,5,33,4
3897,Iraq,terrorism,2020-09-01,,5,832,3897,Iraq,NATO,diplomatic,2020-09-01,2023-01-01,no,Yemen,37733656,28709,21.42,22.63,80.19,Turkoman,Christianity,high,13,2030-09-01,4.8,1,4,2,4731919,1111110,water,low,low,44,31,2
3898,Syria,civil war,2020-09-02,2023-01-01,19,109,3898,Iran,UN,diplomatic,2020-09-02,2023-01-01,partial,Afghanistan,2052740,21048,13.73,31.47,87.86,Persian,Sunni Islam,medium,5,2030-09-02,9.31,2,7,2,1488896,1298619,medicine,medium,medium,36,44,8
3899,Syria,terrorism,2020-09-03,,22,255,3899,Syria,NATO,humanitarian,2020-09-03,2023-01-01,no,Iraq,22797260,36910,11.07,38.18,96.42,Arab,Christianity,low,0,2030-09-03,9.64,7,1,4,1861855,1147660,shelter,high,high,38,17,3
3900,Iran,civil war,2020-09-04,2023-01-01,74,451,3900,Afghanistan,Red Cross,military,2020-09-04,,yes,Iran,39460098,4701,29.72,14.56,75.47,Kurd,Shia Islam,high,2,2030-09-04,8.74,4,9,3,1141364,1263637,medicine,medium,high,6,40,9
3901,Iraq,terrorism,2020-09-05,2023-01-01,68,440,3901,Iraq,UN,humanitarian,2020-09-05,,no,Iran,2659547,25822,23.52,42.32,60.16,Persian,Christianity,low,11,2030-09-05,3.66,6,9,6,4799567,2159769,medicine,low,low,4,30,2
3902,Iran,civil war,2020-09-06,,70,549,3902,Afghanistan,UN,military,2020-09-06,,no,Syria,39491886,31081,10.51,8.46,94.04,Persian,Sunni Islam,high,7,2030-09-06,6.66,8,8,7,1469306,805384,medicine,medium,medium,31,38,1
3903,Iraq,terrorism,2020-09-07,,14,925,3903,Afghanistan,Red Cross,military,2020-09-07,,no,Iran,7811441,32725,49.61,54.1,51.67,Kurd,Sunni Islam,medium,17,2030-09-07,5.23,7,2,5,2553818,2042834,water,high,low,39,26,9
3904,Iran,terrorism,2020-09-08,2023-01-01,71,806,3904,Yemen,Red Cross,military,2020-09-08,2023-01-01,yes,Iraq,22402844,44200,37.44,35.28,74.72,Arab,Shia Islam,high,4,2030-09-08,4.21,3,2,7,757483,1441045,shelter,high,medium,35,46,9
3905,Syria,territorial conflict,2020-09-09,2023-01-01,21,69,3905,Afghanistan,Red Cross,humanitarian,2020-09-09,2023-01-01,no,Syria,21409114,27317,34.52,25.45,69.97,Persian,Christianity,medium,13,2030-09-09,5.47,7,3,2,707650,2869168,water,high,medium,35,42,2
3906,Syria,civil war,2020-09-10,2023-01-01,95,162,3906,Iran,UN,humanitarian,2020-09-10,,no,Iran,25981809,34783,36.98,14.37,97.44,Turkoman,Christianity,low,14,2030-09-10,9.96,5,1,4,2256483,2016958,food,low,high,45,13,4
3907,Iraq,terrorism,2020-09-11,2023-01-01,43,651,3907,Iraq,NATO,military,2020-09-11,2023-01-01,no,Iraq,23426536,29134,9.23,11.45,73.03,Baluchi,Shia Islam,medium,17,2030-09-11,7.28,8,8,0,2368457,545972,medicine,high,high,89,36,5
3908,Yemen,territorial conflict,2020-09-12,,74,868,3908,Syria,NATO,military,2020-09-12,,yes,Afghanistan,10326874,6903,25.78,18.67,84.57,Kurd,Shia Islam,low,16,2030-09-12,3.65,7,9,8,3536649,1675727,medicine,high,high,66,6,8
3909,Afghanistan,civil war,2020-09-13,2023-01-01,55,458,3909,Iraq,UN,humanitarian,2020-09-13,,partial,Syria,37951671,22441,11.67,30.04,97.11,Arab,Shia Islam,medium,1,2030-09-13,5.02,5,9,9,364900,529032,medicine,medium,low,88,25,9
3910,Iraq,civil war,2020-09-14,,15,912,3910,Iraq,UN,humanitarian,2020-09-14,,partial,Iraq,32210527,42929,39.49,35.47,72.78,Kurd,Christianity,high,18,2030-09-14,6.1,9,5,9,3400716,2656056,food,medium,high,7,4,2
3911,Yemen,territorial conflict,2020-09-15,2023-01-01,65,663,3911,Iran,Red Cross,humanitarian,2020-09-15,2023-01-01,partial,Afghanistan,20267939,31078,35.79,5.53,85.13,Kurd,Sunni Islam,medium,5,2030-09-15,6.07,7,4,9,1264906,1094004,medicine,medium,high,41,4,3
3912,Iraq,civil war,2020-09-16,,20,940,3912,Syria,Red Cross,humanitarian,2020-09-16,,yes,Afghanistan,31870603,38960,41.11,30.95,90.54,Arab,Christianity,medium,3,2030-09-16,7.68,9,4,3,1812967,1602974,water,medium,low,43,35,8
3913,Afghanistan,territorial conflict,2020-09-17,2023-01-01,45,185,3913,Iraq,Red Cross,humanitarian,2020-09-17,2023-01-01,partial,Syria,13308661,45839,35.62,6.5,60.57,Baluchi,Sunni Islam,high,13,2030-09-17,6.96,2,3,3,1204212,880107,water,high,high,44,19,1
3914,Syria,territorial conflict,2020-09-18,2023-01-01,23,322,3914,Afghanistan,NATO,military,2020-09-18,2023-01-01,yes,Iran,16650914,1035,27.53,22.13,97.49,Kurd,Shia Islam,medium,19,2030-09-18,6.9,9,9,6,3698202,1994718,water,high,low,20,15,5
3915,Afghanistan,territorial conflict,2020-09-19,2023-01-01,7,25,3915,Iraq,UN,humanitarian,2020-09-19,2023-01-01,no,Iraq,30888768,36862,25.0,45.03,58.89,Kurd,Sunni Islam,low,6,2030-09-19,7.32,3,1,2,4690905,2476238,water,high,low,33,14,3
3916,Iraq,territorial conflict,2020-09-20,2023-01-01,25,962,3916,Iran,UN,humanitarian,2020-09-20,,no,Iran,35435883,28629,9.56,19.0,63.81,Persian,Shia Islam,medium,9,2030-09-20,8.17,3,1,1,1171089,210687,shelter,high,low,97,5,8
3917,Iran,terrorism,2020-09-21,,93,249,3917,Yemen,NATO,military,2020-09-21,,no,Iran,9140363,2882,45.59,7.45,84.93,Kurd,Christianity,low,17,2030-09-21,1.07,8,7,7,4640590,34979,medicine,medium,medium,36,21,6
3918,Iraq,terrorism,2020-09-22,2023-01-01,39,661,3918,Yemen,Red Cross,military,2020-09-22,2023-01-01,partial,Afghanistan,15632348,31297,49.32,34.98,72.24,Kurd,Christianity,medium,10,2030-09-22,1.37,5,4,2,3418815,2723900,medicine,medium,medium,13,8,8
3919,Iran,terrorism,2020-09-23,,99,317,3919,Afghanistan,UN,diplomatic,2020-09-23,2023-01-01,partial,Yemen,17877986,12112,25.74,48.7,97.08,Kurd,Christianity,low,2,2030-09-23,4.2,4,9,4,4150829,386556,shelter,medium,medium,91,38,3
3920,Iraq,terrorism,2020-09-24,,38,960,3920,Syria,NATO,humanitarian,2020-09-24,2023-01-01,no,Syria,23739242,26756,10.51,48.04,94.24,Persian,Shia Islam,high,19,2030-09-24,4.98,7,1,4,906885,1002223,food,high,medium,42,23,7
3921,Iran,terrorism,2020-09-25,2023-01-01,53,690,3921,Iraq,NATO,diplomatic,2020-09-25,,yes,Afghanistan,23348529,2415,7.08,8.63,73.53,Persian,Shia Islam,low,2,2030-09-25,6.79,8,5,9,3092180,1615873,shelter,medium,high,40,16,7
3922,Afghanistan,civil war,2020-09-26,2023-01-01,10,39,3922,Afghanistan,Red Cross,diplomatic,2020-09-26,,yes,Syria,31366209,45973,13.1,42.89,88.31,Kurd,Christianity,high,3,2030-09-26,6.7,7,1,5,1704381,2893662,food,high,high,39,14,6
3923,Yemen,terrorism,2020-09-27,2023-01-01,93,577,3923,Iran,UN,military,2020-09-27,2023-01-01,yes,Afghanistan,38194115,11306,20.4,30.15,63.19,Arab,Shia Islam,medium,12,2030-09-27,1.64,5,2,7,1427487,1534280,water,low,high,14,12,1
3924,Afghanistan,territorial conflict,2020-09-28,,59,89,3924,Syria,UN,military,2020-09-28,,yes,Yemen,15148941,18408,44.02,43.71,72.12,Persian,Shia Islam,medium,10,2030-09-28,4.07,8,7,7,2217682,381473,food,medium,low,23,17,2
3925,Afghanistan,civil war,2020-09-29,,9,121,3925,Iraq,UN,diplomatic,2020-09-29,2023-01-01,yes,Iraq,28635287,45773,39.18,35.76,63.64,Turkoman,Sunni Islam,high,14,2030-09-29,7.19,3,8,4,2324739,2869803,shelter,high,high,20,22,8
3926,Yemen,territorial conflict,2020-09-30,2023-01-01,62,560,3926,Iran,UN,military,2020-09-30,2023-01-01,partial,Iran,29487908,45366,42.35,36.87,55.42,Kurd,Shia Islam,low,17,2030-09-30,7.34,4,5,9,1101065,2241820,medicine,medium,low,87,11,6
3927,Iran,terrorism,2020-10-01,,13,142,3927,Afghanistan,NATO,diplomatic,2020-10-01,2023-01-01,no,Yemen,15339182,33675,47.46,9.51,63.37,Arab,Shia Islam,high,4,2030-10-01,8.44,4,8,9,4984880,1649414,water,medium,low,49,15,9
3928,Afghanistan,terrorism,2020-10-02,2023-01-01,77,321,3928,Iraq,Red Cross,diplomatic,2020-10-02,2023-01-01,partial,Iran,18239594,24562,46.27,7.18,95.51,Baluchi,Sunni Islam,medium,7,2030-10-02,9.79,3,5,4,2329041,2350039,food,medium,high,10,44,9
3929,Iran,terrorism,2020-10-03,2023-01-01,69,22,3929,Iraq,Red Cross,diplomatic,2020-10-03,2023-01-01,partial,Iran,33123780,40160,42.8,45.21,98.34,Kurd,Sunni Islam,low,10,2030-10-03,5.61,7,3,7,1617049,1284136,shelter,medium,high,3,42,3
3930,Afghanistan,territorial conflict,2020-10-04,2023-01-01,55,720,3930,Yemen,Red Cross,diplomatic,2020-10-04,,no,Syria,1427326,3727,35.72,52.62,71.4,Turkoman,Christianity,medium,8,2030-10-04,9.56,6,6,4,141389,1644189,water,low,medium,59,8,1
3931,Afghanistan,territorial conflict,2020-10-05,,54,706,3931,Iraq,Red Cross,humanitarian,2020-10-05,,yes,Iran,14774043,3898,6.95,45.54,58.56,Turkoman,Christianity,low,2,2030-10-05,4.28,8,1,5,1748757,2366814,shelter,high,high,10,9,6
3932,Iraq,civil war,2020-10-06,,81,375,3932,Iran,UN,military,2020-10-06,2023-01-01,partial,Yemen,5000068,20108,36.49,58.99,72.36,Baluchi,Sunni Islam,low,8,2030-10-06,4.2,2,7,6,4018758,2145811,shelter,high,high,2,11,9
3933,Syria,terrorism,2020-10-07,2023-01-01,74,533,3933,Iraq,NATO,diplomatic,2020-10-07,,partial,Iraq,3707455,37093,26.96,45.26,52.89,Turkoman,Shia Islam,high,8,2030-10-07,8.17,1,7,4,4658216,942341,water,high,high,4,31,2
3934,Syria,terrorism,2020-10-08,2023-01-01,75,369,3934,Yemen,Red Cross,humanitarian,2020-10-08,,yes,Afghanistan,31020327,8823,36.92,27.09,88.18,Kurd,Christianity,medium,4,2030-10-08,1.92,9,3,9,1263767,2952557,food,medium,low,40,34,2
3935,Yemen,civil war,2020-10-09,2023-01-01,98,668,3935,Iraq,Red Cross,military,2020-10-09,2023-01-01,yes,Yemen,21861174,45483,34.1,55.0,61.88,Baluchi,Shia Islam,low,12,2030-10-09,7.74,8,7,1,2689218,1049615,food,low,low,53,10,7
3936,Afghanistan,civil war,2020-10-10,,32,531,3936,Iran,UN,diplomatic,2020-10-10,2023-01-01,no,Yemen,5399422,5779,26.22,35.79,62.34,Baluchi,Christianity,high,3,2030-10-10,7.3,4,2,6,3571740,630897,food,low,medium,89,17,5
3937,Afghanistan,civil war,2020-10-11,2023-01-01,70,943,3937,Iran,UN,humanitarian,2020-10-11,,partial,Iraq,28107211,8013,24.5,59.12,55.47,Arab,Christianity,low,16,2030-10-11,5.82,8,3,6,1108167,2156424,medicine,high,low,62,29,6
3938,Yemen,terrorism,2020-10-12,,93,858,3938,Iran,NATO,humanitarian,2020-10-12,2023-01-01,partial,Syria,19787991,45772,20.84,20.7,75.19,Baluchi,Sunni Islam,low,10,2030-10-12,8.05,3,3,3,1730039,998483,medicine,high,low,71,31,5
3939,Syria,territorial conflict,2020-10-13,2023-01-01,4,401,3939,Syria,NATO,diplomatic,2020-10-13,2023-01-01,partial,Yemen,37439652,20505,48.59,31.53,52.67,Kurd,Christianity,low,8,2030-10-13,1.98,8,7,5,335654,357302,water,low,high,49,8,7
3940,Iran,territorial conflict,2020-10-14,,60,640,3940,Iran,Red Cross,military,2020-10-14,2023-01-01,no,Afghanistan,22879518,4125,21.32,23.79,85.91,Kurd,Shia Islam,medium,2,2030-10-14,3.77,6,7,7,2433667,2995873,food,high,high,88,37,3
3941,Afghanistan,civil war,2020-10-15,2023-01-01,69,198,3941,Syria,UN,humanitarian,2020-10-15,2023-01-01,partial,Yemen,23864017,43908,11.04,34.98,81.74,Arab,Christianity,high,13,2030-10-15,3.02,2,3,1,3013890,1929357,food,high,high,89,49,1
3942,Iraq,territorial conflict,2020-10-16,2023-01-01,25,698,3942,Syria,Red Cross,humanitarian,2020-10-16,2023-01-01,no,Afghanistan,39942080,18553,8.29,21.28,96.36,Baluchi,Christianity,high,18,2030-10-16,6.53,1,2,0,2331221,1507045,food,low,medium,37,46,3
3943,Iran,terrorism,2020-10-17,2023-01-01,39,584,3943,Afghanistan,Red Cross,diplomatic,2020-10-17,,partial,Iran,30361517,21287,18.74,40.48,76.11,Kurd,Christianity,medium,19,2030-10-17,7.63,1,3,8,3311969,2559858,food,low,medium,8,17,2
